Film,Year,Awards,Nominations,Decade,Win_Rate
Quiet Please!,1945,1,1,1940,1.0
The Razor's Edge,1946,1,4,1940,0.25
Reap the Wild Wind,1942,1,3,1940,0.3333333333333333
Rebecca,1940,2,11,1940,0.18181818181818182
The Red Balloon (Le ballon rouge),1956,1,1,1950,1.0
The Red Shoes,1948,2,5,1940,0.4
The Robe,1953,2,5,1950,0.4
Robert Frost: A Lover's Quarrel with the World,1963,1,1,1960,1.0
Roman Holiday,1953,3,10,1950,0.3
Room at the Top,1959,2,6,1950,0.3333333333333333
The Rose Tattoo,1955,3,8,1950,0.375
Sabrina,1954,1,6,1950,0.16666666666666666
Samson and Delilah,1950,2,5,1950,0.4
San Francisco,1936,1,6,1930,0.16666666666666666
Sayonara,1957,4,10,1950,0.4
The Scoundrel,1935,1,1,1930,1.0
The Sea Around Us,1952,1,1,1950,1.0
Seal Island,1948,1,1,1940,1.0
Seawards the Great Ships,1961,1,1,1960,1.0
The Secret Land,1948,1,1,1940,1.0
Seeds of Destiny,1946,1,1,1940,1.0
Separate Tables,1958,2,7,1950,0.2857142857142857
Serengeti Shall Not Die (Serengeti darf nicht sterben),1959,1,1,1950,1.0
Sergeant York,1941,2,11,1940,0.18181818181818182
Seven Brides for Seven Brothers,1954,1,5,1950,0.2
Seven Days to Noon,1951,1,1,1950,1.0
The Seventh Veil,1946,1,1,1940,1.0
Shane,1953,1,6,1950,0.16666666666666666
She Wore a Yellow Ribbon,1949,1,1,1940,1.0
The Silent World (Le Monde du silence),1956,1,1,1950,1.0
Since You Went Away,1944,1,9,1940,0.1111111111111111
Sky Above and Mud Beneath (Le Ciel et la boue),1961,1,1,1960,1.0
The Snake Pit,1948,1,6,1940,0.16666666666666666
So Much for So Little,1949,1,1,1940,1.0
The Solid Gold Cadillac,1956,1,2,1950,0.5
Some Like It Hot,1959,1,6,1950,0.16666666666666666
Somebody Up There Likes Me,1956,2,3,1950,0.6666666666666666
The Song of Bernadette,1943,4,12,1940,0.3333333333333333
Song Without End,1960,1,1,1960,1.0
Sons and Lovers,1960,1,7,1960,0.14285714285714285
Sons of Liberty,1939,1,1,1930,1.0
South Pacific,1958,1,3,1950,0.3333333333333333
Spartacus,1960,4,6,1960,0.6666666666666666
Speaking of Animals and Their Families,1942,1,1,1940,1.0
Speedy Gonzales,1955,1,1,1950,1.0
Spellbound,1945,1,6,1940,0.16666666666666666
Splendor in the Grass,1961,1,2,1960,0.5
Stagecoach,1939,2,7,1930,0.2857142857142857
Stairway to Light,1945,1,1,1940,1.0
Stalag 17,1953,1,3,1950,0.3333333333333333
Star in the Night,1945,1,1,1940,1.0
State Fair,1945,1,2,1940,0.5
The Story of Louis Pasteur,1936,3,4,1930,0.75
The Stratton Story,1949,1,1,1940,1.0
A Streetcar Named Desire,1951,4,12,1950,0.3333333333333333
Strike Up the Band,1940,1,3,1940,0.3333333333333333
The Substitute,1961,1,1,1960,1.0
Sundays and Cybele (Le Dimanches de Ville d'Avray),1962,1,3,1960,0.3333333333333333
Sunset Boulevard,1950,3,11,1950,0.2727272727272727
Survival City,1955,1,1,1950,1.0
Suspicion,1941,1,3,1940,0.3333333333333333
Sweet Bird of Youth,1962,1,3,1960,0.3333333333333333
Swing Time,1936,1,2,1930,0.5
Symphony of a City,1948,1,1,1940,1.0
"Teddy, the Rough Rider",1940,1,1,1940,1.0
The Ten Commandments,1956,1,7,1950,0.14285714285714285
That Hamilton Woman,1941,1,4,1940,0.25
That Mothers Might Live,1938,1,1,1930,1.0
The Thief of Bagdad,1940,3,4,1940,0.75
The Third Man,1950,1,3,1950,0.3333333333333333
Thirty Seconds Over Tokyo,1944,1,2,1940,0.5
This Above All,1942,1,4,1940,0.25
This Is the Army,1943,1,3,1940,0.3333333333333333
This Land Is Mine,1943,1,1,1940,1.0
This Mechanical Age,1954,1,1,1950,1.0
Three Coins in the Fountain,1954,2,3,1950,0.6666666666666666
The Three Faces of Eve,1957,1,1,1950,1.0
Three Orphan Kittens,1935,1,1,1930,1.0
Through a Glass Darkly (Såsom i en spegel),1961,1,2,1960,0.5
Thunderball,1965,1,1,1960,1.0
Thursday's Children,1954,1,1,1950,1.0
The Time Machine,1960,1,1,1960,1.0
A Time Out of War,1954,1,1,1950,1.0
Tin Pan Alley,1940,1,1,1940,1.0
The Titan: Story of Michelangelo,1950,1,1,1950,1.0
Titanic,1953,1,2,1950,0.5
To Catch a Thief,1955,1,3,1950,0.3333333333333333
To Each His Own,1946,1,2,1940,0.5
To Kill a Mockingbird,1962,3,8,1960,0.375
Tom Jones,1963,4,10,1960,0.4
tom thumb,1958,1,1,1950,1.0
"Toot, Whistle, Plunk and Boom",1953,1,1,1950,1.0
Topkapi,1964,1,1,1960,1.0
The Tortoise and the Hare,1934,1,1,1930,1.0
Torture Money,1937,1,1,1930,1.0
Toward Independence,1948,1,1,1940,1.0
The Treasure of the Sierra Madre,1948,3,4,1940,0.75
A Tree Grows in Brooklyn,1945,1,2,1940,0.5
The True Glory,1945,1,1,1940,1.0
The True Story of the Civil War,1956,1,1,1950,1.0
Tweetie Pie,1947,1,1,1940,1.0
Twelve O'Clock High,1949,2,4,1940,0.5
The Two Mouseketeers,1951,1,1,1950,1.0
Two Women (La Ciociara),1961,1,1,1960,1.0
The Ugly Duckling,1939,1,1,1930,1.0
The V.I.P.s,1963,1,1,1960,1.0
Vacation from Marriage (UK title Perfect Strangers),1946,1,1,1940,1.0
Van Gogh,1949,1,1,1940,1.0
The Vanishing Prairie,1954,1,1,1950,1.0
The Virgin Spring (Jungfrukällan),1960,1,2,1960,0.5
Viva Villa!,1934,1,4,1930,0.25
Viva Zapata!,1952,1,5,1950,0.2
Waikiki Wedding,1937,1,2,1930,0.5
The War of the Worlds,1953,1,3,1950,0.3333333333333333
Watch on the Rhine,1943,1,4,1940,0.25
Water Birds,1952,1,1,1950,1.0
West Side Story,1961,10,11,1960,0.9090909090909091
The Westerner,1940,1,3,1940,0.3333333333333333
The Wetback Hound,1957,1,1,1950,1.0
What Ever Happened to Baby Jane?,1962,1,5,1960,0.2
When Tomorrow Comes,1939,1,1,1930,1.0
When Magoo Flew,1954,1,1,1950,1.0
When Worlds Collide,1951,1,2,1950,0.5
White Wilderness,1958,1,2,1950,0.5
Who's Who in Animal Land,1944,1,1,1940,1.0
Why Korea?,1950,1,1,1950,1.0
Wilson,1944,5,10,1940,0.5
Wings Over Everest,1935,1,1,1930,1.0
With a Song in My Heart,1952,1,5,1950,0.2
With the Marines at Tarawa,1944,1,1,1940,1.0
Woman of the Year,1942,1,2,1940,0.5
Wonder Man,1945,1,4,1940,0.25
The Wonderful World of the Brothers Grimm,1962,1,4,1960,0.25
World of Kids,1951,1,1,1950,1.0
World Without Sun (Le Monde sans soleil),1964,1,1,1960,1.0
Written on the Wind,1956,1,3,1950,0.3333333333333333
Wuthering Heights,1939,1,8,1930,0.125
Yankee Doodle Dandy,1942,3,8,1940,0.375
The Yankee Doodle Mouse,1943,1,1,1940,1.0
The Yearling,1946,2,7,1940,0.2857142857142857
"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",1964,1,1,1960,1.0
You Can't Take It with You,1938,2,7,1930,0.2857142857142857
Zorba the Greek (Alexis Zorbas),1964,3,7,1960,0.42857142857142855
